Recording timestamp,Computer timestamp,Sensor,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Eye movement type,Gaze event duration
0,878431455,Eye Tracker,5.214,5.332,5.273,Fixation,175
10035,878441490,Eye Tracker,5.16,5.297,5.269,Fixation,175
20007,878451462,Eye Tracker,5.206,5.333,5.266,Fixation,175
30015,878461470,Eye Tracker,5.148,5.301,5.236,Fixation,175
39994,878471449,Eye Tracker,5.201,5.337,5.266,Fixation,175
50003,878481458,Eye Tracker,5.147,5.313,5.231,Fixation,175
59976,878491431,Eye Tracker,5.198,5.345,5.264,Fixation,175
69979,878501434,Eye Tracker,5.133,5.312,5.242,Fixation,175
79963,878511418,Eye Tracker,5.192,5.364,5.268,Fixation,175
89966,878521421,Eye Tracker,5.127,5.337,5.235,Fixation,175
99944,878531399,Eye Tracker,5.198,5.358,5.268,Fixation,175
109947,878541402,Eye Tracker,5.132,5.33,5.239,Fixation,175
119927,878551382,Eye Tracker,5.201,5.345,5.271,Fixation,175
129936,878561391,Eye Tracker,5.14,5.323,5.235,Fixation,175
139907,878571362,Eye Tracker,5.206,5.355,5.273,Fixation,175
149915,878581370,Eye Tracker,5.138,5.325,5.245,Fixation,175
159928,878591383,Eye Tracker,5.212,5.358,5.274,Fixation,175
169930,878601385,Eye Tracker,5.153,5.336,5.249,Fixation,175
359821,878791276,Eye Tracker,5.225,5.342,5.277,Fixation,260
369794,878801249,Eye Tracker,5.163,5.324,5.256,Fixation,260
379772,878811227,Eye Tracker,5.227,5.353,5.284,Fixation,260
389773,878821228,Eye Tracker,5.169,5.343,5.261,Fixation,260
399759,878831214,Eye Tracker,5.23,5.367,5.29,Fixation,260
409792,878841247,Eye Tracker,5.17,5.352,5.261,Fixation,260
419767,878851222,Eye Tracker,5.227,5.364,5.295,Fixation,260
429773,878861228,Eye Tracker,5.168,5.351,5.263,Fixation,260
439753,878871208,Eye Tracker,5.226,5.363,5.295,Fixation,260
449759,878881214,Eye Tracker,5.174,5.351,5.269,Fixation,260
459735,878891190,Eye Tracker,5.233,5.381,5.299,Fixation,260
469737,878901192,Eye Tracker,5.172,5.372,5.273,Fixation,260
479722,878911177,Eye Tracker,5.227,5.394,5.304,Fixation,260
489755,878921210,Eye Tracker,5.171,5.361,5.275,Fixation,260
499734,878931189,Eye Tracker,5.23,5.394,5.308,Fixation,260
509735,878941190,Eye Tracker,5.178,5.366,5.273,Fixation,260
519716,878951171,Eye Tracker,5.24,5.389,5.31,Fixation,260
529724,878961179,Eye Tracker,5.18,5.365,5.273,Fixation,260
539698,878971153,Eye Tracker,5.242,5.392,5.308,Fixation,260
549703,878981158,Eye Tracker,5.175,5.366,5.273,Fixation,260
559685,878991140,Eye Tracker,5.236,5.38,5.308,Fixation,260
569688,879001143,Eye Tracker,5.175,5.357,5.273,Fixation,260
579665,879011120,Eye Tracker,5.241,5.379,5.306,Fixation,260
589667,879021122,Eye Tracker,5.176,5.369,5.273,Fixation,260
599653,879031108,Eye Tracker,5.239,5.376,5.282,Fixation,260
609656,879041111,Eye Tracker,5.172,5.363,5.282,Fixation,260
639648,879071103,Eye Tracker,5.241,5.381,5.296,Unclassified,60
649654,879081109,Eye Tracker,5.176,5.368,5.296,Unclassified,60
659629,879091084,Eye Tracker,5.241,5.381,5.311,Unclassified,60
669631,879101086,Eye Tracker,5.177,5.36,5.274,Unclassified,60
679616,879111071,Eye Tracker,5.243,5.402,5.28,Unclassified,60
689618,879121073,Eye Tracker,5.18,5.366,5.28,Unclassified,60
759579,879191034,Eye Tracker,5.248,5.394,5.314,Fixation,1089
769582,879201037,Eye Tracker,5.186,5.357,5.314,Fixation,1089
779559,879211014,Eye Tracker,5.253,5.393,5.32,Fixation,1089
789562,879221017,Eye Tracker,5.185,5.357,5.271,Fixation,1089
799548,879231003,Eye Tracker,5.25,5.394,5.31,Fixation,1089
809549,879241004,Eye Tracker,5.177,5.348,5.282,Fixation,1089
819524,879250979,Eye Tracker,5.242,5.378,5.31,Fixation,1089
829531,879260986,Eye Tracker,5.178,5.399,5.288,Fixation,1089
839511,879270966,Eye Tracker,5.233,5.388,5.31,Fixation,1089
849518,879280973,Eye Tracker,5.188,5.391,5.289,Fixation,1089
859524,879290979,Eye Tracker,5.233,5.384,5.312,Fixation,1089
869525,879300980,Eye Tracker,5.187,5.397,5.29,Fixation,1089
879510,879310965,Eye Tracker,5.233,5.394,5.311,Fixation,1089
889513,879320968,Eye Tracker,5.187,5.393,5.293,Fixation,1089
899490,879330945,Eye Tracker,5.229,5.392,5.311,Fixation,1089
909493,879340948,Eye Tracker,5.192,5.404,5.298,Fixation,1089
919473,879350928,Eye Tracker,5.227,5.42,5.318,Fixation,1089
929481,879360936,Eye Tracker,5.192,5.409,5.303,Fixation,1089
939454,879370909,Eye Tracker,5.231,5.415,5.32,Fixation,1089
949460,879380915,Eye Tracker,5.188,5.413,5.304,Fixation,1089
959443,879390898,Eye Tracker,5.225,5.425,5.32,Fixation,1089
969445,879400900,Eye Tracker,5.187,5.415,5.305,Fixation,1089
979424,879410879,Eye Tracker,5.224,5.422,5.321,Fixation,1089
989425,879420880,Eye Tracker,5.182,5.423,5.305,Fixation,1089
999410,879430865,Eye Tracker,5.219,5.427,5.321,Fixation,1089
1009444,879440899,Eye Tracker,5.188,5.409,5.302,Fixation,1089
1019417,879450872,Eye Tracker,5.227,5.411,5.316,Fixation,1089
1029424,879460879,Eye Tracker,5.191,5.414,5.302,Fixation,1089
1039405,879470860,Eye Tracker,5.227,5.423,5.32,Fixation,1089
1049413,879480868,Eye Tracker,5.194,5.411,5.306,Fixation,1089
1059385,879490840,Eye Tracker,5.231,5.417,5.322,Fixation,1089
1069389,879500844,Eye Tracker,5.199,5.414,5.311,Fixation,1089
1079373,879510828,Eye Tracker,5.235,5.418,5.324,Fixation,1089
1089407,879520862,Eye Tracker,5.208,5.405,5.313,Fixation,1089
1099384,879530839,Eye Tracker,5.246,5.418,5.327,Fixation,1089
1109357,879540812,Eye Tracker,5.211,5.409,5.313,Fixation,1089
1119368,879550823,Eye Tracker,5.251,5.427,5.328,Fixation,1089
1129375,879560830,Eye Tracker,5.217,5.4,5.314,Fixation,1089
1139350,879570805,Eye Tracker,5.256,5.41,5.33,Fixation,1089
